first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa
Nathan,Fernandez,2000-06-09,Male,1686176433,nathan.fernandez09@gmail.com,Marketing,B+,7.15
Daniel,Gibbs,1992-03-30,Male,0412835620,Gibbs@gmail.,HR,B+,9.4
Benjamin,Vasquez,2001-05-19,Female,4848636737,benjamin.vasquez19@gmail.com,Marketing,O-,0.84
Ryan,Ryan,1975-01-02,Male,4521015689,ryan.ryan02@gmail.com,Marketing,AB-,8.58
Eric,Johnson,1984-10-23,Female,2387278245,eric.johnson23@gmail.com,QA,AB+,5.91
Michael,Green,1987-07-19,Female,9978324910,michael.green19@gmail.com,QA,A+,8.98
Kevin,Barnett,1972-05-08,Male,4724884375,kevin.barnett08@gmail.com,AI,O-,5.95
Jeffrey,Warner,1971-11-27,Male,1667845307,jeffrey.warner27@gmail.com,AI,O-,7.23
Scott,Mora,2006-11-26,Male,8242336340,scott.mora26@gmail.com,QA,B+,9.67
Jasmine,West,1987-07-05,Female,3482803857,jasmine.west05@gmail.com,QA,O-,7.13
Amanda,Howard,1985-12-12,Female,9786293816,amanda.howard12@gmail.com,AI,AB-,9.71
Paul,Perry,1986-02-20,Female,9698031053,paul.perry20@gmail.com,Marketing,AB+,5.09
Sean,Pacheco,1979-11-05,Female,0992227036,sean.pacheco05@gmail.com,Cloud,AB+,9.64
Richard,Cervantes,2005-05-21,Male,2770447772,richard.cervantes21@gmail.com,AI,AB+,0.61
Michelle,Miller,2001-05-03,Male,6169878035,michelle.miller03@gmail.com,Marketing,O-,5.61
Christina,Thompson,1991-03-09,Male,3990518075,christina.thompson09@gmail.com,Marketing,O+,9.76
Jason,Moses,1979-01-10,Female,5872907503,jason.moses10@gmail.com,HR,B-,9.57
Haley,Best,1971-09-24,Male,3257620520,haley.best24@gmail.com,IT,AB+,5.56
,Mcmahon,2003-01-10,Male,2037234622,sylvia.mcmahon10@gmail.com,AI,A-,6.94
Sandra,Young,2006-12-18,Female,1587668614,sandra.young18@gmail.com,Marketing,A+,5.51
Micheal,Lamb,1978-10-29,Female,0929123514,micheal.lamb29@gmail.com,QA,B-,7.18
Jeffrey,Wood,2000-01-17,Female,73810508,jeffrey.wood17@gmail.com,AI,B+,7.45
Jake,Miller,2000-08-24,Female,0589614847,jake.miller24@gmail.com,AI,O-,5.01
Lauren,Velazquez,1965-07-09,Female,9682143496,lauren.velazquez09@gmail.com,Marketing,B+,9.21
Chase,Shepard,1989-10-05,Male,3774325856,chase.shepard05@gmail.com,Marketing,AB-,5.93
Alexander,Riggs,2029-03-29,Male,9637460819,alexander.riggs01@gmail.com,HR,B+,5.63
Douglas,Bray,2005-05-18,Male,2507,douglas.bray18@gmail.com,QA,B+,6.02
Elizabeth,Pearson,1979-05-02,Male,1247693920,Elizabethmail,HR,AB+,6.72
Richard,Crawford,1992-06-19,Male,5265269410,richard.crawford19@gmail.com,IT,AB-,7.47
Christina,Gordon,2004-01-03,Male,1508342378,christina.gordon03@gmail.com,Marketing,B-,5.24
Mark,Garcia,1969-07-25,Female,5322819005,mark.garcia25@gmail.com,Cloud,B-,8.75
Jason,Johnson,1966-08-16,Female,1901674957,jason.johnson16@gmail.com,QA,O+,9.86
Lindsay,Haas,1992-07-27,Male,1843984560,lindsay.haas27@gmail.com,AI,AB+,7.46
Ann,Fox,1979-05-03,Female,1269166196,ann.fox03@gmail.com,Marketing,B-,7.46
Keith,Phillips,1999-06-22,Male,8901853375,Phillips@gmail,QA,B+,6.45
Krystal,Smith,1975-03-25,Male,6655540838,Krystalyahoo,Marketing,A+,9.78
Tammy,Small,1974-12-27,Male,1821608181,Tammymail,HR,A+,6.53
Scott,Dunn,2005-04-29,Male,4248997821,scott.dunn29@gmail.com,AI,B+,9.38
Brandon,Crawford,1974-10-29,Female,4529729246,brandon.crawford29@gmail.com,HR,A-,6.88
Christopher,Johnson,1987-06-13,Male,8173130988,christopher.johnson13@gmail.com,IT,O+,5.05
Joanna,Yu,1968-01-18,Male,4944692649,joanna.yu18@gmail.com,Marketing,B-,6.65
Albert,Newman,1976-07-19,Male,2628623989,albert.newman19@gmail.com,IT,O-,9.66
Barbara,Huff,2028-03-31,Female,8851303396,barbara.huff02@gmail.com,HR,O+,9.24
Linda,Smith,1973-03-02,Male,8737827887,Smith@gmailcomcom,IT,AB-,5.59
Stephanie,Hernandez,1987-04-02,Male,7184910793,stephanie.hernandez02@gmail.com,Marketing,A-,6.29
Dominique,Crawford,1989-03-14,Female,6313279868,dominique.crawford14@gmail.com,HR,AB-,9.87
Charlotte,Carter,1986-05-25,Male,7930232503,charlotte.carter25@gmail.com,Marketing,O+,3.65
Daniel,Pena,1994-02-23,Female,9565017636,daniel.pena23@gmail.com,IT,AB-,3.96
John,James,2000-03-22,Male,1259466958,john.james22@gmail.com,HR,O+,12.13
Karen,Payne,1988-08-26,Female,6675031922,karen.payne26@gmail.com,IT,O-,9.62
