first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa
Jacqueline,Decker,2026-11-13,Male,1731621335,jacqueline.decker18@gmail.com,QA,O+,7.03
Cassandra,Gonzalez,1971-10-11,Male,3845953617,cassandra.gonzalez11@gmail.com,IT,B-,5.54
Henry,Morgan,1972-07-29,Male,3773330533,henry.morgan29@gmail.com,QA,O+,7.92
Rebecca,Espinoza,1996-03-25,Male,7016661275,rebecca.espinoza25@gmail.com,Marketing,B-,8.13
Sheila,Moore,2008-03-25,Male,0918117990,sheila.moore25@gmail.com,IT,B+,9.78
Tonya,Wood,1987-08-24,Female,1288385372,tonya.wood24@gmail.com,IT,O+,5.07
Danny,Peters,1984-03-08,Female,8848533419,danny.peters08@gmail.com,Cloud,B+,6.49
Kayla,Oliver,1990-08-21,Female,3935648513,kayla.oliver21@gmail.com,HR,B+,7.39
Sheila,Lewis,1971-04-07,Male,3977852537,sheila.lewis07@gmail.com,Marketing,AB+,14.74
Debra,Thomas,1979-02-03,Female,5027562207,debra.thomas03@gmail.com,HR,AB+,5.22
Barry,Dorsey,2029-06-12,Female,2697208359,barry.dorsey06@gmail.com,Marketing,B+,9.08
Susan,Frost,1973-06-01,Female,5196076629,susan.frost01@gmail.com,Cloud,B-,5.94
Richard,Briggs,1967-05-20,Male,4244911515,richard.briggs20@gmail.com,Cloud,O+,8.6
Brandy,Matthews,1974-05-24,Female,9595974741,brandy.matthews24@gmail.com,IT,A+,5.34
Catherine,Rivera,1988-04-27,Male,3087196630,catherine.rivera27@gmail.com,IT,A-,6.62
Theresa,Mejia,1972-06-28,Female,1993029571,theresa.mejia28@gmail.com,HR,AB-,5.24
,Norris,1982-08-24,Female,7013598025,christopher.norris24@gmail.com,Cloud,A+,6.63
Laura,Jenkins,1983-07-25,Female,2422064156,laura.jenkins25@gmail.com,Cloud,O+,5.61
Daniel,Williams,2002-05-29,Male,2498752047,daniel.williams29@gmail.com,QA,O+,8.37
Anna,Gray,1971-07-27,Female,6894198712,anna.gray27@gmail.com,Marketing,B-,6.31
Terri,Jordan,1974-04-15,Male,1332466184,terri.jordan15@gmail.com,HR,AB+,5.18
Daisy,Hawkins,1970-05-15,Female,7106639961,daisy.hawkins15@gmail.com,IT,A-,7.68
Kayla,Craig,1969-11-10,Male,9618589741,kayla.craig10@gmail.com,IT,O-,9.0
Christine,Castro,1967-09-22,Male,4675781256,christine.castro22@gmail.com,IT,AB-,8.04
Jill,Carpenter,1991-11-02,Female,5664268912,jill.carpenter02@gmail.com,HR,O+,5.25
Paul,Harris,1969-05-12,Male,5352452760,paul.harris12@gmail.com,IT,A+,6.29
Megan,Conrad,1991-07-24,Female,3040190813,megan.conrad24@gmail.com,IT,,7.09
Steven,Evans,1980-07-31,Male,4145073059,steven.evans31@gmail.com,IT,O-,5.12
Ashley,Andrews,1988-10-16,Male,3854556427,ashley.andrews16@gmail.com,AI,AB+,8.46
Sharon,Hall,1978-04-04,Male,5702436485,sharon.hall04@gmail.com,AI,AB-,7.36
Shelby,Maldonado,1980-09-03,Female,0843127679,shelby.maldonado03@gmail.com,AI,B-,8.21
Todd,Jones,1997-02-23,Female,0326918946,todd.jones23@gmail.com,Marketing,B+,8.28
Jennifer,Arnold,1969-01-30,Male,5806818083,jennifer.arnold30@gmail.com,IT,A+,8.5
Kendra,Gilbert,2028-02-25,Female,6055430936,kendra.gilbert12@gmail.com,Marketing,B+,7.59
Cameron,Simon,2004-11-02,Female,3772272351,cameron.simon02@gmail.com,Cloud,AB+,7.13
Sean,Diaz,1973-06-26,Male,3103133462,sean.diaz26@gmail.com,HR,AB+,9.43
April,Richardson,1992-06-04,Female,7334883531,april.richardson04@gmail.com,Cloud,,9.6
Vickie,Compton,1972-08-06,Female,2842335018,vickie.compton06@gmail.com,IT,A+,8.2
Andrew,Hanson,1992-07-17,Male,2489841637,andrew.hanson17@gmail.com,Marketing,AB+,3.82
Erin,Barton,1988-05-25,Female,7760084554,erin.barton25@gmail.com,AI,A+,8.84
Karen,Anderson,1997-08-10,Female,7955618207,Anderson@gmail,AI,O-,5.47
Steven,Carson,2000-04-21,Female,2340107084,steven.carson21@gmail.com,QA,O-,9.41
Patricia,Smith,1989-10-08,Female,0815627452,patricia.smith08@gmail.com,AI,AB-,3.18
Thomas,Robinson,1988-03-13,Female,8886518132,thomas.robinson13@gmail.com,IT,O-,8.76
Richard,Robbins,1979-06-17,Female,8279049001,richard.robbins17@gmail.com,HR,O+,9.98
