first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa
Kevin,Salazar,1986-03-01,Female,8534207279,Salazar@gmail,AI,AB-,7.23
Stephen,Wilson,1985-04-01,Male,6818714215,stephen.wilson01@gmail.com,QA,A-,8.82
Larry,Bernard,2007-04-13,Female,9501555492,larry.bernard13@gmail.com,Marketing,B+,8.3
Julia,Reyes,1990-12-28,Female,5784669112,julia.reyes28@gmail.com,Marketing,O+,3.52
Casey,Wilkerson,1968-02-21,Male,1213171010,casey.wilkerson21@gmail.com,QA,O-,6.37
John,Ho,1996-04-16,Female,4520022801,Johnmail,Marketing,O+,9.66
Austin,Oconnor,1989-11-29,Female,4637881223,austin.oconnor29@gmail.com,IT,B+,8.26
Zachary,Armstrong,1979-07-21,Male,5171656179,zachary.armstrong21@gmail.com,AI,AB+,9.0
Lindsay,Shepherd,1993-08-25,Male,2915963888,lindsay.shepherd25@gmail.com,AI,AB-,9.2
Tracey,Harmon,2000-06-03,Female,29301072,tracey.harmon03@gmail.com,IT,AB-,9.83
Gregory,Day,1982-02-19,Female,6414371075,gregory.day19@gmail.com,AI,O+,4.24
,Espinoza,1966-04-25,Male,2133456254,kristine.espinoza25@gmail.com,IT,O+,7.92
Michael,Espinoza,1975-05-27,Male,0888276797,michael.espinoza27@gmail.com,IT,O+,6.26
Charles,Williams,1975-08-14,Male,8627428352,charles.williams14@gmail.com,Cloud,B+,8.7
Elizabeth,Bridges,2006-08-01,Female,464,elizabeth.bridges01@gmail.com,IT,O+,6.44
Matthew,Torres,1981-02-17,Male,0381833289,matthew.torres17@gmail.com,IT,O+,5.22
Andrea,Mcclure,1994-07-02,Male,7182751730,andrea.mcclure02@gmail.com,IT,B+,8.94
Steven,Garcia,1983-11-05,Male,2331808059,steven.garcia05@gmail.com,IT,AB-,3.67
Nathaniel,Anderson,1977-01-26,Female,4983081400,Nathanielgmail.com,Cloud,B+,9.78
Glenn,Lawrence,1979-01-25,Female,6215347729,glenn.lawrence25@gmail.com,Cloud,A+,0.6
Teresa,Ortiz,1975-02-17,Female,6002914531,teresa.ortiz17@gmail.com,Marketing,AB-,9.42
Barbara,Johnson,1991-05-13,Male,6424375737,barbara.johnson13@gmail.com,HR,B-,5.96
Laura,Garner,1983-03-13,Female,1628417,laura.garner13@gmail.com,QA,AB-,5.58
Teresa,Warner,1987-01-24,Male,4863762444,teresa.warner24@gmail.com,QA,AB-,7.69
George,Smith,1980-06-23,Male,2931412632,Georgeyahoo,Marketing,A+,8.72
Arthur,White,2002-07-16,Female,0687066082,arthur.white16@gmail.com,Marketing,AB-,3.69
Austin,Pearson,1978-12-09,Male,9702620937,austin.pearson09@gmail.com,IT,B-,5.47
Reginald,Dunn,1993-03-15,Female,7532221942,reginald.dunn15@gmail.com,Marketing,B+,5.67
Aaron,Diaz,1987-08-16,Male,238,aaron.diaz16@gmail.com,AI,A+,9.28
Travis,Peterson,1986-05-04,Male,9835708359,travis.peterson04@gmail.com,AI,O+,8.19
Michael,Schwartz,1981-06-22,Male,0814277008,michael.schwartz22@gmail.com,AI,AB+,5.83
Carmen,Chandler,1997-05-09,Female,3097920895,carmen.chandler09@gmail.com,IT,A-,5.91
Sarah,Wright,1976-05-18,Female,8077889643,sarah.wright18@gmail.com,HR,A+,7.4
Jeremy,Mayer,1985-04-04,Female,3052329641,Jeremygmail.com,HR,A+,9.89
Shannon,Chavez,1970-02-04,Male,3771323360,shannon.chavez04@gmail.com,HR,A+,0.2
Joseph,Dixon,1974-08-03,Male,94452,joseph.dixon03@gmail.com,Cloud,AB-,8.09
Richard,Carroll,2004-08-24,Female,1046864730,richard.carroll24@gmail.com,HR,B-,7.54
Amanda,Anderson,1998-02-27,Female,7724690761,amanda.anderson27@gmail.com,HR,B-,7.58
Francisco,Baker,1998-12-14,Male,3774444629,francisco.baker14@gmail.com,Marketing,AB-,4.23
Krystal,Hudson,1972-10-17,Female,1581292455,krystal.hudson17@gmail.com,IT,B+,10.46
Larry,Nichols,1983-08-20,Female,7882972655,larry.nichols20@gmail.com,IT,A+,6.24
Jared,Fitzgerald,1991-07-30,Female,3797966986,Jaredmail,QA,A+,5.69
Christopher,Griffin,1972-07-30,Female,9073016639,christopher.griffin30@gmail.com,Marketing,O-,9.54
Kyle,Krueger,1997-04-19,Male,9228,kyle.krueger19@gmail.com,Cloud,AB+,7.05
Eric,Cruz,1987-02-01,Male,5744534740,eric.cruz01@gmail.com,AI,O+,9.02
Nicholas,Herring,1970-06-21,Female,1024684098,nicholas.herring21@gmail.com,QA,A+,7.07
Angela,Ruiz,2007-03-21,Female,0025543619,angela.ruiz21@gmail.com,Cloud,O+,6.02
Shane,Ramirez,2004-10-24,Female,1942139157,shane.ramirez24@gmail.com,Marketing,B+,7.21
Chad,Parker,1993-05-05,Male,7727861461,chad.parker05@gmail.com,IT,B-,6.37
Aaron,Santiago,1972-09-03,Female,4954648298,aaron.santiago03@gmail.com,AI,O+,6.54
