first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa,errors
,Shaffer,1972-05-09,Male,31937951,janet.shaffer09@gmail.com,Marketing,B+,7.16,"Invalid first_name, Invalid phone"
Michael,Hill,2031-03-02,Male,430550564,michael.hill04@gmail.com,IT,B-,5.77,"Invalid phone, Invalid DOB"
,Atkinson,2005-03-04,Female,8662436375,samantha.atkinson04@gmail.com,Cloud,B+,8.31,Invalid first_name
Robert,Roberts,1989-06-28,Male,3576789437,robert.roberts28@gmail.com,QA,,5.87,Invalid blood group
Miguel,Williams,1988-09-30,Male,184991665,miguel.williams30@gmail.com,Marketing,A+,7.94,Invalid phone
Daniel,Dixon,1992-08-17,Female,6863742184,Dixon@gmail,QA,AB+,5.44,Invalid email
Elizabeth,Sullivan,1984-10-25,Male,5651046495,Sullivan@gmail,Marketing,B-,9.77,Invalid email
Daisy,Carter,1979-12-10,Male,8608714434,daisy.carter10@gmail.com,Marketing,,5.07,Invalid blood group
Robert,Mitchell,1968-04-06,Female,924708329,robert.mitchell06@gmail.com,AI,AB-,7.62,Invalid phone
Jade,Hensley,1968-10-18,Male,2375351489,jade.hensley18@gmail.com,IT,O+,4.14,Invalid CGPA
Lisa,Spears,2004-02-18,Female,9283458165,lisa.spears18@gmail.com,Marketing,,6.73,Invalid blood group
 ,White,2004-07-22,Female,8725833149,clarence.white22@gmail.com,IT,O-,9.76,Invalid first_name
,Robinson,1997-04-07,Male,4285773939,christopher.robinson07@gmail.com,Marketing,AB-,9.09,Invalid first_name
Pamela,Sharp,2028-04-28,Male,4691573990,pamela.sharp09@gmail.com,Marketing,AB-,9.27,Invalid DOB
Xavier,Mclaughlin,1991-12-03,Male,334951457,Xaviergmail.com,Marketing,O-,8.11,"Invalid email, Invalid phone"
Mark,Butler,1975-01-12,Female,3863346230,mark.butler12@gmail.com,HR,A+,4.89,Invalid CGPA
 ,Salinas,1976-01-11,Male,7844758510,shelly.salinas11@gmail.com,HR,O+,5.18,Invalid first_name
Caleb,Kim,1972-04-10,Male,4653264522,Kim@gmailcomcom,QA,AB+,5.28,Invalid email
Michelle,Sweeney,2002-11-09,Female,544581739,michelle.sweeney09@gmail.com,Cloud,B+,7.47,Invalid phone
Tiffany,Scott,1990-12-31,Female,9258830102,Scott@gmail,Marketing,O+,9.08,Invalid email
,Perez,1981-10-07,Female,5659533049,marcus.perez07@gmail.com,IT,B-,6.61,Invalid first_name
 ,Zavala,1978-11-09,Female,7248149518,steven.zavala09@gmail.com,QA,O+,7.6,Invalid first_name
Michelle,King,1997-03-28,Female,6978256200,King@gmail.,Marketing,A+,6.57,Invalid email
