first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa,errors
Daniel,Gibbs,1992-03-30,Male,412835620,Gibbs@gmail.,HR,B+,9.4,"Invalid email, Invalid phone"
Benjamin,Vasquez,2001-05-19,Female,4848636737,benjamin.vasquez19@gmail.com,Marketing,O-,0.84,Invalid CGPA
Sean,Pacheco,1979-11-05,Female,992227036,sean.pacheco05@gmail.com,Cloud,AB+,9.64,Invalid phone
Richard,Cervantes,2005-05-21,Male,2770447772,richard.cervantes21@gmail.com,AI,AB+,0.61,Invalid CGPA
,Mcmahon,2003-01-10,Male,2037234622,sylvia.mcmahon10@gmail.com,AI,A-,6.94,Invalid first_name
Micheal,Lamb,1978-10-29,Female,929123514,micheal.lamb29@gmail.com,QA,B-,7.18,Invalid phone
Jeffrey,Wood,2000-01-17,Female,73810508,jeffrey.wood17@gmail.com,AI,B+,7.45,Invalid phone
Jake,Miller,2000-08-24,Female,589614847,jake.miller24@gmail.com,AI,O-,5.01,Invalid phone
Alexander,Riggs,2029-03-29,Male,9637460819,alexander.riggs01@gmail.com,HR,B+,5.63,Invalid DOB
Douglas,Bray,2005-05-18,Male,2507,douglas.bray18@gmail.com,QA,B+,6.02,Invalid phone
Elizabeth,Pearson,1979-05-02,Male,1247693920,Elizabethmail,HR,AB+,6.72,Invalid email
Keith,Phillips,1999-06-22,Male,8901853375,Phillips@gmail,QA,B+,6.45,Invalid email
Krystal,Smith,1975-03-25,Male,6655540838,Krystalyahoo,Marketing,A+,9.78,Invalid email
Tammy,Small,1974-12-27,Male,1821608181,Tammymail,HR,A+,6.53,Invalid email
Barbara,Huff,2028-03-31,Female,8851303396,barbara.huff02@gmail.com,HR,O+,9.24,Invalid DOB
Linda,Smith,1973-03-02,Male,8737827887,Smith@gmailcomcom,IT,AB-,5.59,Invalid email
Charlotte,Carter,1986-05-25,Male,7930232503,charlotte.carter25@gmail.com,Marketing,O+,3.65,Invalid CGPA
Daniel,Pena,1994-02-23,Female,9565017636,daniel.pena23@gmail.com,IT,AB-,3.96,Invalid CGPA
John,James,2000-03-22,Male,1259466958,john.james22@gmail.com,HR,O+,12.13,Invalid CGPA
